code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20,translated,
MU3Sec290,Experiment,18-Aug-23,19,Bangkok,Thailand,4,3,3,2,3,3,4,3,2,3,D,C,C,C,A,B,D,B,B,C,1,1,0,0,0,0,0,0,1,0,3,C,B,C,C,B,A,D,D,A,A,1,0,1,1,1,0,0,1,1,0,6,2,4,5,1,4,4,1,5,1,1,2,3,2,,Yes,No,,,,,,
MU3Sec291,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,C,B,D,C,A,D,D,1,0,0,0,1,1,0,1,0,0,4,A,B,D,A,D,B,C,C,D,D,0,0,0,0,1,1,1,0,0,1,4,1,2,1,4,5,3,3,2,1,1,2,3,5,,No,No,,,,,,
MU3Sec292,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,3,4,4,4,4,5,4,D,C,C,D,B,D,C,A,A,B,1,1,0,1,1,1,0,1,0,1,7,C,A,C,D,A,C,B,C,C,D,0,1,0,0,0,0,0,1,0,1,3,3,4,1,1,4,3,3,5,2,1,2,3,7,,Yes,No,,,,,,
MU3Sec293,Control,18-Aug-23,19,Bangkok,Thailand,4,5,4,4,4,4,4,4,5,5,D,D,A,D,D,B,C,A,A,B,1,0,1,1,0,0,0,1,0,1,5,D,A,C,C,B,A,C,D,A,A,0,0,0,1,0,1,1,0,0,0,3,4,4,4,4,5,5,4,4,2,1,2,4,7,,No,Yes,,,,,,
MU3Sec294,Experiment,18-Aug-23,19,Nakhon Pathom,Thailand,3,4,4,4,4,4,4,3,5,4,D,D,A,D,A,D,D,A,A,B,1,0,1,1,0,1,0,1,0,1,6,C,D,B,D,C,B,C,D,A,B,0,0,1,0,0,0,1,1,0,0,3,5,5,4,4,1,5,5,2,5,1,2,2,1,,No,No,,,,,,
MU3Sec295,Control,18-Aug-23,19,Bangkok,Thailand,3,4,3,3,4,4,3,3,4,4,A,C,C,D,A,B,D,A,B,B,0,1,0,1,0,0,0,1,1,1,5,B,A,D,D,C,B,A,A,C,B,1,0,0,0,1,0,1,1,1,1,6,1,5,4,2,1,1,4,4,1,1,2,4,3,,No,No,,,,,,
MU3Sec296,Experiment,18-Aug-23,19,Bangkok,Thailand,4,5,5,5,4,4,5,5,5,5,A,D,C,D,B,D,C,C,D,B,0,0,0,1,1,1,0,0,0,1,4,D,A,D,B,A,A,D,A,A,B,1,1,1,0,0,0,0,1,0,0,4,3,4,1,1,5,2,1,2,4,1,2,1,4,,No,Yes,,,,,,
MU3Sec297,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,A,C,B,D,C,D,B,A,1,0,1,0,1,1,0,0,1,0,5,D,A,B,C,A,D,A,A,B,C,0,0,1,0,1,1,0,1,0,0,4,1,1,5,5,4,3,5,3,5,1,2,2,1,,No,No,,,,,,
MU3Sec298,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,A,A,A,C,C,D,B,B,1,0,1,0,0,0,0,0,1,1,4,C,B,D,C,B,C,B,B,A,C,1,1,1,1,0,0,0,1,1,1,7,5,5,4,4,4,2,4,1,2,1,2,1,4,,No,No,,,,,,
MU3Sec299,Control,18-Aug-23,19,Nonthaburin,Thailand,4,4,3,4,4,4,4,5,4,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,D,A,D,A,D,D,C,D,B,C,0,1,1,1,0,0,0,1,1,1,6,2,3,1,1,4,4,5,4,4,1,2,1,5,,Yes,Yes,,,,,,
MU3Sec2100,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,4,4,4,4,4,4,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,C,A,B,D,B,C,A,C,C,D,1,1,1,1,0,0,1,0,1,1,7,5,3,4,5,4,3,5,5,5,1,2,3,7,,Yes,Yes,,,,,,
MU3Sec2101,Control,18-Aug-23,18,Nonthaburin,Thailand,3,4,3,5,4,4,3,4,3,4,D,C,C,D,D,D,C,B,A,B,1,1,0,1,0,1,0,0,0,1,5,A,D,C,B,A,B,C,D,A,B,1,1,1,0,0,1,1,0,1,1,7,3,2,3,4,1,1,2,4,2,1,2,1,5,,No,No,,,,,,
MU3Sec2102,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,4,4,3,3,4,5,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,D,C,C,D,A,B,C,D,B,D,0,1,1,0,0,1,1,1,0,1,6,4,4,5,5,5,1,3,5,1,1,2,4,6,,No,No,,,,,,
MU3Sec2103,Control,18-Aug-23,19,Bangkok,Thailand,4,4,5,5,4,5,4,4,4,4,A,C,C,D,B,D,B,D,A,B,0,1,0,1,1,1,1,0,0,1,6,A,A,C,A,C,A,C,D,C,D,0,0,1,0,0,1,1,0,1,1,5,4,1,3,2,5,3,5,2,4,1,2,4,7,,Yes,No,,,,,,
MU3Sec2104,Experiment,18-Aug-23,20,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,5,4,A,B,C,D,C,A,C,A,B,B,0,0,0,1,0,0,0,1,1,1,4,A,D,B,B,D,B,B,A,C,D,1,0,0,0,0,0,1,0,1,1,4,1,4,5,3,5,3,2,3,5,1,2,2,1,,No,No,,,,,,
MU3Sec2105,Control,18-Aug-23,19,Pathum Thani,Thailand,4,4,3,3,4,4,4,4,4,3,D,C,C,D,C,D,C,B,B,A,1,1,0,1,0,1,0,0,1,0,5,D,B,A,D,B,B,C,C,B,D,1,1,0,0,1,1,0,1,1,1,7,3,5,2,3,1,5,3,2,1,1,2,4,2,,Yes,No,,,,,,
