code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post11,post12,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,post11grade,post12grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20,translated
MU3Sec372,Experiment,18-Aug-23,19,,Thailand,4,3,3,3,3,4,3,3,3,3,C,A,B,D,A,C,B,C,D,A,0,0,0,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3148,Experiment,18-Aug-23,19,Rayoung,Thailand,4,5,4,3,4,3,4,5,5,4,D,D,C,D,B,A,C,A,B,A,1,0,0,1,1,0,0,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3150,Experiment,18-Aug-23,19,Bangkok,Thailand,3,3,4,3,3,4,3,2,3,4,A,C,B,D,D,D,B,A,A,C,0,1,0,1,0,1,1,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3151,Control,18-Aug-23,19,Bangkok,Thailand,2,4,4,3,3,4,3,3,4,4,D,B,B,C,C,B,B,D,C,A,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3152,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,C,C,C,A,B,B,A,B,B,1,1,0,0,0,0,1,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3153,Control,18-Aug-23,18,Bangkok,Thailand,4,4,3,4,4,4,5,5,5,3,D,A,B,D,A,B,A,A,B,A,1,0,0,1,0,0,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3154,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,A,C,B,B,D,D,B,A,B,A,0,1,0,0,0,1,1,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3160,Experiment,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,B,D,B,C,D,C,B,C,A,D,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3161,Control,,19,,,5,5,5,5,5,5,5,5,5,5,B,B,B,B,B,B,B,B,B,B,0,0,0,0,1,0,1,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3162,Experiment,18-Aug-23,19,,Thailand,3,5,4,3,5,4,4,4,4,4,A,D,C,A,A,D,C,C,C,C,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3164,Experiment,18-Aug-23,19,Samut Prakan,Thailand,4,4,5,4,4,4,5,4,4,4,D,D,C,C,B,D,A,A,A,B,1,0,0,0,1,1,0,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3165,Control,18-Aug-23,19,Nonthaburi,Thailand,5,5,5,5,5,5,5,5,5,5,A,D,C,C,A,D,C,A,A,B,0,0,0,0,0,1,0,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3166,Experiment,18-Aug-23,20,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,C,C,C,C,C,C,C,C,C,C,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3169,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,3,5,5,4,4,5,4,D,C,B,C,B,D,C,A,A,A,1,1,0,0,1,1,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3170,Experiment,18-Aug-23,19,Chumphon,Thailand,5,5,5,5,5,5,5,5,5,5,B,C,C,D,B,,,,,,0,1,0,1,1,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3171,Control,18-Aug-23,21,Samut Prakan,Thailand,4,4,4,5,5,4,4,5,4,4,B,C,C,D,A,C,B,A,D,A,0,1,0,1,0,0,1,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
